record_ID,cycle,step_ID,step_name,time_in_step,voltage_V,current_mA,capacity_mAh,energy_mWh,timestamp,Validated,DCIR(mOhm)
1,1,1,CC_Chg,0.0,1.6600436,6095.803,0.0,0.0,2024-09-23 14:46:08.000000000,True,-1.0
2,1,1,CC_Chg,900.0,1.6600436,6095.803,0.16932786,0.28109163,2024-09-23 14:46:08.000000000,True,-1.0
3,1,1,CC_Chg,0.2,1.716601,6096.165,0.33866575,0.5717773,2024-09-23 14:46:09.000000000,True,-1.0
4,1,1,CC_Chg,0.32,1.7493777,6097.093,1524.38,2616.7427,2024-09-23 14:31:09.200000000,True,-1.0
5,1,1,CC_Chg,0.45,1.8103706,6097.63,1524.5917,2617.1128,2024-09-23 14:31:09.325000000,True,-1.0
6,1,1,CC_Chg,0.57,1.8419132,6097.9585,1524.8033,2617.4963,2024-09-23 14:31:09.450000000,True,-1.0
7,1,1,CC_Chg,0.7,1.8884507,6098.348,1.1855882,2.122581,2024-09-23 14:46:09.000000000,True,-1.0
8,1,1,CC_Chg,0.95,1.925073,6098.5605,1.3973365,2.522457,2024-09-23 14:46:09.125000000,True,-1.0
9,1,1,CC_Chg,1.2,1.9564935,6098.7607,2.0326197,3.7613604,2024-09-23 14:46:10.000000000,True,-1.0
10,1,1,CC_Chg,1.7,1.9888238,6098.927,2.8796854,5.436876,2024-09-23 14:46:10.000000000,True,-1.0
11,1,1,CC_Chg,2.7,2.0207462,6099.085,4.573857,8.841236,2024-09-23 14:46:11.000000000,True,-1.0
12,1,1,CC_Chg,8.3,2.0513728,6099.1895,14.061477,28.203924,2024-09-23 14:46:17.000000000,True,-1.0
13,1,1,CC_Chg,10.0,2.0511887,6099.358,16.941673,34.11316,2024-09-23 14:46:18.000000000,True,-1.0
14,1,1,CC_Chg,20.0,2.0639179,6099.464,33.884663,69.019806,2024-09-23 14:46:28.000000000,True,-1.0
15,1,1,CC_Chg,30.0,2.068648,6099.1543,50.827618,103.98868,2024-09-23 14:46:38.000000000,True,-1.0
16,1,1,CC_Chg,40.0,2.0746176,6099.31,67.769714,139.0359,2024-09-23 14:46:48.000000000,True,-1.0
17,1,1,CC_Chg,50.0,2.0771592,6099.496,84.71224,174.18517,2024-09-23 14:46:58.000000000,True,-1.0
18,1,1,CC_Chg,60.0,2.0763881,6099.127,101.65529,209.37859,2024-09-23 14:47:08.000000000,True,-1.0
19,1,1,CC_Chg,70.0,2.0793607,6099.0703,118.597305,244.55678,2024-09-23 14:47:18.000000000,True,-1.0
20,1,1,CC_Chg,80.0,2.0869524,6099.419,135.53917,279.78503,2024-09-23 14:47:28.000000000,True,-1.0
21,1,1,CC_Chg,90.0,2.090973,6099.16,152.48192,315.37372,2024-09-23 14:47:38.000000000,True,-1.0
22,1,1,CC_Chg,100.0,2.091111,6099.069,169.42403,350.7992,2024-09-23 14:47:48.000000000,True,-1.0
23,1,1,CC_Chg,110.0,2.0971766,6099.4087,186.36588,386.2265,2024-09-23 14:47:58.000000000,True,-1.0
24,1,1,CC_Chg,120.0,2.0981936,6099.4175,203.30869,421.75858,2024-09-23 14:48:08.000000000,True,-1.0
25,1,1,CC_Chg,130.0,2.1004431,6099.1323,220.2515,457.3079,2024-09-23 14:48:18.000000000,True,-1.0
26,1,1,CC_Chg,140.0,2.1006122,6099.4336,237.19354,492.89368,2024-09-23 14:48:28.000000000,True,-1.0
27,1,1,CC_Chg,150.0,2.0988543,6099.512,254.13641,528.4841,2024-09-23 14:48:38.000000000,True,-1.0
28,1,1,CC_Chg,160.0,2.0970159,6099.1323,271.07983,564.07294,2024-09-23 14:48:48.000000000,True,-1.0
29,1,1,CC_Chg,170.0,2.0980864,6099.1616,288.02185,599.6006,2024-09-23 14:48:58.000000000,True,-1.0
30,1,1,CC_Chg,180.0,2.098476,6099.05,304.964,635.14667,2024-09-23 14:49:08.000000000,True,-1.0
31,1,1,CC_Chg,190.0,2.095243,6099.5093,321.9058,670.69867,2024-09-23 14:49:18.000000000,True,-1.0
32,1,1,CC_Chg,200.0,2.0992024,6099.4497,338.84885,706.1985,2024-09-23 14:49:28.000000000,True,-1.0
33,1,1,CC_Chg,210.0,2.0972297,6099.547,355.79178,741.7651,2024-09-23 14:49:38.000000000,True,-1.0
34,1,1,CC_Chg,220.0,2.0988488,6099.1226,372.73495,777.2989,2024-09-23 14:49:48.000000000,True,-1.0
35,1,1,CC_Chg,230.0,2.1014569,6099.0806,389.67725,812.9728,2024-09-23 14:49:58.000000000,True,-1.0
36,1,1,CC_Chg,240.0,2.0981994,6099.124,406.61917,848.57544,2024-09-23 14:50:08.000000000,True,-1.0
37,1,1,CC_Chg,250.0,2.1014287,6099.5483,423.56116,884.12317,2024-09-23 14:50:18.000000000,True,-1.0
38,1,1,CC_Chg,260.0,2.1011825,6099.3813,440.50433,919.728,2024-09-23 14:50:28.000000000,True,-1.0
39,1,1,CC_Chg,270.0,2.1039395,6099.403,457.44708,955.3278,2024-09-23 14:50:38.000000000,True,-1.0
40,1,1,CC_Chg,280.0,2.1046453,6099.512,474.38986,990.9744,2024-09-23 14:50:48.000000000,True,-1.0
41,1,1,CC_Chg,290.0,2.1078632,6099.5454,491.33295,1026.6337,2024-09-23 14:50:58.000000000,True,-1.0
42,1,1,CC_Chg,300.0,2.110563,6099.5,508.27725,1062.3796,2024-09-23 14:51:08.000000000,True,-1.0
43,1,1,CC_Chg,310.0,2.1147695,6099.5015,525.22034,1098.139,2024-09-23 14:51:18.000000000,True,-1.0
44,1,1,CC_Chg,320.0,2.1184115,6099.2026,542.1634,1133.9696,2024-09-23 14:51:28.000000000,True,-1.0
45,1,1,CC_Chg,330.0,2.1176426,6099.182,559.1056,1169.8604,2024-09-23 14:51:38.000000000,True,-1.0
46,1,1,CC_Chg,340.0,2.1134057,6099.2983,576.0478,1205.7378,2024-09-23 14:51:48.000000000,True,-1.0
47,1,1,CC_Chg,350.0,2.112842,6099.304,592.9903,1241.5441,2024-09-23 14:51:58.000000000,True,-1.0
48,1,1,CC_Chg,360.0,2.111129,6099.2544,609.9328,1277.3411,2024-09-23 14:52:08.000000000,True,-1.0
49,1,1,CC_Chg,370.0,2.1080296,6099.121,626.87476,1313.0463,2024-09-23 14:52:18.000000000,True,-1.0
50,1,1,CC_Chg,380.0,2.107194,6099.046,643.8167,1348.7605,2024-09-23 14:52:28.000000000,True,-1.0
51,1,1,CC_Chg,390.0,2.1060412,6099.13,660.7585,1384.4601,2024-09-23 14:52:38.000000000,True,-1.0
52,1,1,CC_Chg,400.0,2.1084638,6099.099,677.7005,1420.1407,2024-09-23 14:52:48.000000000,True,-1.0
53,1,1,CC_Chg,410.0,2.1081774,6099.107,694.64246,1455.8622,2024-09-23 14:52:58.000000000,True,-1.0
54,1,1,CC_Chg,420.0,2.107671,6099.271,711.5845,1491.579,2024-09-23 14:53:08.000000000,True,-1.0
55,1,1,CC_Chg,430.0,2.1098084,6099.146,728.5269,1527.288,2024-09-23 14:53:18.000000000,True,-1.0
56,1,1,CC_Chg,440.0,2.1080549,6099.29,745.4691,1563.0735,2024-09-23 14:53:28.000000000,True,-1.0
57,1,1,CC_Chg,450.0,2.1082668,6099.3,762.4116,1598.7891,2024-09-23 14:53:38.000000000,True,-1.0
58,1,1,CC_Chg,460.0,2.1067944,6099.14,779.3541,1634.5085,2024-09-23 14:53:48.000000000,True,-1.0
59,1,1,CC_Chg,470.0,2.108106,6099.1895,796.29614,1670.2019,2024-09-23 14:53:58.000000000,True,-1.0
60,1,1,CC_Chg,480.0,2.1050444,6099.168,813.23834,1705.9178,2024-09-23 14:54:08.000000000,True,-1.0
61,1,1,CC_Chg,490.0,2.1044352,6099.175,830.1805,1741.5818,2024-09-23 14:54:18.000000000,True,-1.0
62,1,1,CC_Chg,500.0,2.1081247,6099.105,847.1226,1777.2354,2024-09-23 14:54:28.000000000,True,-1.0
63,1,1,CC_Chg,510.0,2.1054688,6099.2085,864.0646,1813.0302,2024-09-23 14:54:38.000000000,True,-1.0
64,1,1,CC_Chg,520.0,2.1048477,6099.2446,881.00684,1848.7014,2024-09-23 14:54:48.000000000,True,-1.0
65,1,1,CC_Chg,530.0,2.1051848,6099.198,897.94916,1884.3625,2024-09-23 14:54:58.000000000,True,-1.0
66,1,1,CC_Chg,540.0,2.1050262,6099.281,914.8914,1920.029,2024-09-23 14:55:08.000000000,True,-1.0
67,1,1,CC_Chg,550.0,2.1084461,6099.5815,931.83386,1955.6934,2024-09-23 14:55:18.000000000,True,-1.0
68,1,1,CC_Chg,560.0,2.1085422,6099.5903,948.77716,1991.4174,2024-09-23 14:55:28.000000000,True,-1.0
69,1,1,CC_Chg,570.0,2.1067119,6099.569,965.7204,2027.143,2024-09-23 14:55:38.000000000,True,-1.0
70,1,1,CC_Chg,580.0,2.107982,6099.4985,982.66406,2062.9272,2024-09-23 14:55:48.000000000,True,-1.0
71,1,1,CC_Chg,590.0,2.1124752,6099.2026,999.60706,2098.6428,2024-09-23 14:55:58.000000000,True,-1.0
72,1,1,CC_Chg,600.0,2.1142578,6099.2153,1016.5494,2134.4329,2024-09-23 14:56:08.000000000,True,-1.0
73,1,1,CC_Chg,610.0,2.1187847,6099.5747,1033.4916,2170.2532,2024-09-23 14:56:18.000000000,True,-1.0
74,1,1,CC_Chg,620.0,2.1157649,6099.633,1050.4348,2206.1523,2024-09-23 14:56:28.000000000,True,-1.0
75,1,1,CC_Chg,630.0,2.122514,6099.611,1067.3783,2242.0005,2024-09-23 14:56:38.000000000,True,-1.0
